Deutsch,English
Metzgerporsche,Butcher Porsche
Meuchelpuffer,Assassin buffer
Mietskaserne,Tenements
Milchsee,Milk Lake
Mischkassette,Mixing cassette
Mischpoke,Mixpoke
Mittelläufer,middle runner
Mordio,Murder
Mottek,Mottek
Muckefuck,Muckfuck
Muff,muff
Muhme,Mum
Multikulti,Multicultural
Mummenschanz,Mummery
Mumpitz,Mumps
Mundraub,Mouth robbery
Müßiggang,idleness
Nabob,nabob
Nasenfahrrad,nose bike
Nassauer,Nassauer
Neufünfländer,New five countries
Nickel,nickel
"Nicki, Nickelodeon","Nicki, Nickelodeon"
Nietenhose,Studded trousers
Normbrecher,Norm breaker
Notentwendung,Emergency theft
Nulpe,Nulp
Ober,Ober
Oberstübchen,Upper room
Oheim,Uncle
Olf,Olf
Ölgötze,Oil idol
Omnibus,omnibus
Onkelehe,Uncle marriage
Orlog,Orlog
Oschek,Oschek
Ostpaket,Eastern package
paletti,paletti
Pampelmuse,Grapefruit
Pantoffelheld,henpecked man
Pappenheimer,Pappenheimer
Pappenstiel,cardboard stick
Papperlapapp,cardboard
Paradiesapfel,Paradise apple
pardauz,sorry
Parvenü,parvenu
Pastinake,parsnip
Paternoster,paternoster
pauker,timpanist
Pedell,Pedell
Pelerine,pelerine
Pennäler,Pennäler
Penunzen,pennies
Penuse,Penuse
Perron,platform
Persilschein,Cleanliness certificate
Peterwagen,Peter's wagon
Pfennigfuchser,Pfennigfuchser
Pferdeoper,Horse opera
pfundig,poundy
picheln,pimple
Piefke,Piefke
piesacken,prick
Pike,pike
Pinke,Pinke
Placet,Placet
Plörre,dishwater
Plumpe,Chunky
Pogo,Pogo
Polylux,Polylux
Pomadenhengst,Pomade stallion
Popper,Popper
Posamenten,trimmings
Potztausend,Potz thousand
poussieren,pousse
Priem,Priem
Pries,Pries
Prilblume,Prilblume
Programmkino,Arthouse cinema
Proletarierkrankheit,Proletarian disease
Provotarier,Provotarian
Punze,Hallmark
Pustekuchen,Puppy cake
Putzmacherin,Cleaner
Quacksalber,Quack doctor
Quarre,Quarre
Quetschkommode,Squeeze chest
Quietschpappe,Squeaky cardboard
Rabauke,bully
Ranft,Ranft
Ranzen,satchel
Ratzefummel,Ratzefumble
Rauchwaren,Tobacco items
Rauchwerk,Smokework
Rauke,Rocket
Rauschgift,drug
Recke,Recke
Reiseruf,Travel call
Remedur,Remedur
Remmidemmi,Remmidemmi
Rennpappe,Racing cardboard
Riester,Riester
Rollschuh,Roller skate
Rosstäuscher,horse-taker
Rüpel,Bully
Salbader,Salbader
salvieren,salve
Sandsackgeneration,Sandbag generation
Sapperlot,Sapperlot
Sättigungsbeilage,satiety supplement
saumselig,tardy
Schabernack,Practical joke
Schalk,Schalk
Schallplattenalleinunterhalter,Solo record entertainer
Scharmützel,skirmish
Scheese,Sheesh
Schelm,rogue
schesen,shesen
Schienenrudi,Rail Rudy
Schimanskijacke,Schimanski jacket
Schinder,Flayer
Schindluder,Scumbag
Schindmähre,fawning mare
Schlachtenbummler,Battle enthusiast
Schlafburschentum,Sleep fraternity
Schlafittchen,Sleepy-bitch
Schlamassel,mess
Schlaraffe,Cockaigne
Schlawak,Schlawak
Schlingel,rascal
Schlitzohr,Sly
Schlüpfer,panties
Schmidtmütze,Schmidt hat
Schmock,Schmock
Schneckenschleuder,Snail thrower
Schnibbes,Schnibbes
Schnickschnack,Bells and whistles
Schnieke,Schnike
Schniepel,Schniepel
Schnurre,Purr
schocken,shock
Schrammhans,Schrammhans
Schrapnell,shrapnel
Schubiack,Schubiack
Schuft,scoundrel
Schulranzen,satchel
Schürzenjäger,Womanizer
Schütteltenne,shaking antenna
Schwagerehe,brother-in-law marriage
Schwedenfilm,Swedish film
Schweinesystem,Pig system
Schwengelbrunnen,Schwengel fountain
Schwof,Schwof
Sendeschluss,Deadline
Simpel,Simple
sitt,sit
Sittenstrolch,Moral rascal
Sommerfrische,Summer freshness
Sonntagsstaat,Sunday best
sottisen,sottisen
Sozialhilfe,social care
Sparren,Rafters
Spätheimkehrer,Late returnees
Specker,Specker
Spekulant,speculator
Spießer,Philistine
Spitzbube,Rogue
spitze,great
spornstreichs,spur pranks
Stanniolpapier,Tin foil
Steckenpferd,Hobbyhorse
Stegreif,Impromptu
Stelldichein,tryst
Stiefelknecht,Boot jack
Stinkbolzen,Stinky bolt
Stinkdill,Stinky dill
Strauchdieb,Bush thief
Stutzer,Stutzer
Subbotnik,Subbotnik
Sudelbuch,Sudelbuch
Supi,Great
Suppenkaspar,Soup Kaspar
Tabatiére,Tabatière
Tamagotchi,Tamagotchi
Telespiel,Teleplay
Telex,telex
Testbild,Test image
Tippelei,Tippei
tirilieren,tirilize
Tobak,Tobacco
tofte,tofte
Tohuwabohu,Wow
Tomoffel,Tomoffel
Trantüte,Tranbage
trätschen,gossip
Treber,spent grain
Trümmerfrau,Rubble woman
Tschüssikowski,Bye-sikowski
tumb,tumb
türken,Turks
Turnbeutelvergesser,Gym bag forgetters
Tusferi,Tusferi
Tusnelda,Tusnelda
Übelkrähe,evil crow
Übergangsjacke,Transition jacket
Ulk,Funny
urgieren,urge
urst,Urst
Vagant,Vagrant
Valet,Valet
Veitstanz,Vitus dance
Verazität,Veracity
Vergraulungsmaßnahme,Scaring away measure
Verkaufsschlager,Best seller
Verlobung,engagement
vermeinen,believe
Voluten,Volutes
Vorklasse,Pre-class
vorlöten,pre-solder
Wagenschieber,Wagon pusher
Wählscheibe,dial
Waidmann,Waidman
Waldsterben,Forest dieback
Wampe,belly
Wams,jerkin
Wanst,Wanst
Wanzenkraut,Bug weed
Wegtragsel,carry away
weiland,sometime
Wendehals,turncoat
Werksverkauf,Factory sales
Wertarbeit,Quality workmanship
wes,wes
Wessi,Wessy
Westpaket,West Pack
Wildfang,Tomboy
Wimmerholz,Wimmerwood
wohlfeil,cheap
wohlgemut,good-natured
Wohltätigkeit,Charity
Wollust,Lust
Wuchtbrumme,Power hum
Wurfzabel,Throwing Zabel
Xanthippe,Xanthippe
Yuppie,Yuppie
steiler Zahn,steep tooth
Zahnklempner,Dental plumber
Zampano,Zampano
Zappel-Philipp,Zappelphilipp
Zappelbunker,Fidget bunker
Zaster,Zaster
Zausel,Zausel
zechen,carouse
zeihen,show
Zeter,Zeter
Zimtzicke,Cinnamon bitch
zinken,tink
Zinnober,cinnabar
Zonenfeile,Zone file
Zoni,Zoni
zünftig,hearty
Zwille,Zwille
Zwischengas,Double deceleration
